Years,2005,2005.1,2005.2,2006,2006.1,2006.2,2007,2007.1,2007.2,2008,2008.1,2008.2,2009,2009.1,2009.2,2010,2010.1,2010.2,2011,2011.1,2011.2,2012,2012.1,2012.2,2013,2013.1,2013.2,2014,2014.1,2014.2,2015,2015.1,2015.2,2016,2016.1,2016.2,2017,2017.1,2017.2,2018,2018.1,2018.2,2019,2019.1,2019.2,2020,2020.1,2020.2,2021,2021.1,2021.2,2022,2022.1,2022.2,2023,2023.1,2023.2,2024,2024.1,2024.2,2025
A. Pendapatan Negara,540126.10,495224.20,91.69,659115.20,637987.10,96.79,694087.80,707806.10,101.98,894990.40,981609.40,109.68,870999.00,848763.20,97.45,992398.80,995271.50,100.29,1169914.60,1210599.70,103.48,1358205.00,1338109.50,98.52,1502005.00,1438891.10,95.80,1635378.50,1550490.80,94.81,1761642.80,1508020.40,85.60,1786225.00,1555934.30,87.11,1736060.20,1666375.90,95.99,1894720.30,1943674.90,102.58,2165111.80,1960641.00,90.56,1699948.50,1647783.30,96.93,1743648.50,2011347.10,115.35,2266199.00,2635843.00,116.31,2463024.90,2783929.70,113.03,2802462.15,2842478.02,101.43,3005127.71
I. Penerimaan Dalam Negeri,532671.00,493919.40,92.73,654882.30,636153.00,97.14,690264.50,706108.40,102.30,892041.80,979305.40,109.78,869992.50,847096.60,97.37,990502.30,992248.50,100.18,1165252.50,1205345.70,103.44,1357380.00,1332322.80,98.15,1497521.40,1432058.60,95.63,1633053.40,1545456.30,94.64,1758330.90,1496047.30,85.08,1784249.90,1546946.60,86.70,1732952.10,1654746.10,95.49,1893523.50,1928110.00,101.83,2164676.50,1955141.00,90.32,1698648.50,1628950.50,95.90,1742745.80,2006334.00,115.12,2265619.20,2630147.00,116.09,2462615.50,2766745.50,112.35,2767538.55,2812187.11,101.61,3004546.61
1. Penerimaan Perpajakan,351973.60,347031.00,98.60,425053.10,409203.00,96.27,492010.80,490988.60,99.79,609227.40,658700.80,108.12,651954.80,619922.20,95.09,743325.90,723306.70,97.31,878685.20,873873.90,99.45,1016237.30,980518.00,96.49,1148364.70,1077306.70,93.81,1246107.00,1146865.80,92.04,1489255.50,1240418.90,83.29,1539166.20,1284970.10,83.48,1472709.90,1343529.80,91.23,1618095.50,1518789.80,93.86,1786378.70,1546141.00,86.55,1404507.50,1285136.30,91.50,1444541.60,1547841.10,107.15,1783988.00,2034552.40,114.05,2021223.70,2154208.20,106.58,2218401.10,2232666.00,100.64,2490911.57
a. Pendapatan Pajak Dalam Negeri,334403.20,331791.90,99.22,410226.40,395971.50,96.53,474550.90,470051.80,99.05,580248.20,622358.70,107.26,631931.70,601251.80,95.15,720764.50,694392.10,96.34,831745.30,819752.40,98.56,968293.20,930861.70,96.13,1099943.60,1029850.10,93.63,1189826.60,1103217.60,92.72,1439998.60,1205478.90,83.71,1503294.70,1249499.50,83.12,1436730.90,1304316.30,90.78,1579395.50,1472908.00,93.26,1743056.90,1505090.00,86.35,1371020.60,1248415.10,91.06,1409580.90,1474145.70,104.58,1704958.00,1943654.80,114.00,1963482.50,2089718.30,106.43,2146466.84,2158808.30,100.57,2433505.58
    i. Pendapatan Pajak Penghasilan,180252.90,175541.20,97.39,213698.00,208833.10,97.72,251748.20,238430.90,94.71,305015.90,327497.70,107.37,340209.30,317615.00,93.36,362219.00,357045.50,98.57,431977.00,431121.70,99.80,513650.20,465069.50,90.54,538759.90,506442.80,94.00,569866.70,546180.90,95.84,679370.10,602308.10,88.66,855842.70,657162.70,76.79,783970.30,637859.30,81.36,855133.50,739864.90,86.52,894448.70,772300.00,86.34,670379.50,594033.30,88.61,683774.60,696676.60,101.89,813678.60,998213.80,122.68,935068.60,1061234.00,113.49,1057524.87,1062693.27,100.49,1209278.86
    ii. Pendapatan Pajak Pertambahan Nilai dan PPnBM,102670.50,101295.80,98.66,132876.10,123035.90,92.59,152057.20,154526.80,101.62,195464.00,209647.40,107.26,203084.00,193067.50,95.07,262963.00,230604.90,87.69,298441.40,277800.10,93.08,336057.00,337584.60,100.45,423708.30,384713.50,90.80,475587.20,409181.60,86.04,576469.20,423710.80,73.50,474235.30,412213.50,86.92,475483.50,480724.60,101.10,541801.10,537267.90,99.16,655394.90,531600.00,81.11,507516.20,450328.10,88.73,518545.20,551900.50,106.43,638994.20,687609.50,107.61,742953.60,763632.70,102.78,827233.38,828505.90,100.15,945120.62
    iii. Pendapatan Pajak Bumi dan Bangunan,13375.30,16216.70,121.24,18153.80,20858.50,114.90,22025.80,23723.50,107.71,25265.90,25354.30,100.35,23863.60,24270.20,101.70,25319.10,28580.60,112.88,29057.80,29893.20,102.87,29687.50,28968.90,97.58,27343.80,25304.60,92.54,21742.90,23476.20,107.97,26689.90,29250.00,109.59,17710.60,19443.20,109.78,15412.10,16770.30,108.81,17369.10,19444.90,111.95,19103.60,21100.00,110.45,13441.90,20953.60,155.88,14830.60,18924.80,127.61,20903.80,23264.70,111.29,31311.00,33270.70,106.26,28905.06,32493.69,112.42,27111.78
    iv. Pendapatan BPHTB,3661.40,3431.90,93.73,4386.20,3184.50,72.60,3965.50,5953.40,150.13,5431.20,5573.10,102.61,6980.00,6464.50,92.61,7155.50,8026.40,112.17,0.00,-0.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.50,0.00,0.00,1.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
    v. Pendapatan Pajak lainnya,2198.30,2050.20,93.26,2589.70,2287.40,88.33,2719.50,2737.70,100.67,3353.70,3034.40,90.48,3250.00,3116.00,95.88,3841.90,3968.80,103.30,68075.30,3928.20,5.77,5632.00,4210.90,74.77,5402.00,4937.10,91.39,5179.60,6293.40,121.50,11729.50,5568.30,47.47,7414.90,17154.50,231.35,8700.00,15672.60,180.14,9691.80,16741.60,172.74,8608.70,7700.00,89.44,7485.70,6790.80,90.72,12430.50,11126.00,89.51,11381.40,7686.10,67.53,8699.50,9729.80,111.84,8279.79,8744.11,105.61,7795.88
    vi. Pendapatan Cukai,32244.80,33256.20,103.14,38522.60,37772.10,98.05,42034.70,44679.50,106.29,45717.50,51251.80,112.11,54545.00,56718.50,103.98,59265.90,66165.90,111.64,4193.80,77010.00,1836.28,83266.60,95027.90,114.12,104729.70,108452.10,103.55,117450.20,118085.50,100.54,145739.90,144641.30,99.25,148091.20,143525.00,96.92,153165.00,153288.10,100.08,155400.00,159588.60,102.70,165501.00,172390.00,104.16,172197.20,176309.30,102.39,180000.00,195517.80,108.62,220000.00,226880.80,103.13,245449.80,221851.10,90.39,224523.74,226371.33,100.82,244198.42
b. Pendapatan Pajak Perdagangan Internasional,17570.40,15239.10,86.73,14826.70,13231.50,89.24,17459.90,20936.80,119.91,28979.20,36342.10,125.41,20023.10,18670.40,93.24,22561.40,28914.50,128.16,46939.90,54121.50,115.30,47944.10,49656.30,103.57,48421.10,47456.60,98.01,56280.40,43648.10,77.55,49256.90,34940.00,70.93,35871.50,35470.70,98.88,35979.00,39213.60,108.99,38700.00,45881.80,118.56,43321.80,41051.00,94.76,33486.90,36721.20,109.66,34960.60,73695.40,210.80,79030.00,90897.70,115.02,57741.10,64489.90,111.69,71934.26,73857.69,102.67,57405.98
